date,cpi_rate,gdp_value,usd_vnd_rate,xau_usd_rate,market_cap,pe_ratio,fpt_net_revenue,fpt_gross_profit,fpt_operating_profit,fpt_net_profit,fpt_stock_price,fpt_stock_volume
2023-02-27,,,23835.0,1820.22,,,,,,,50.45,1016698.0
2023-02-28,0.0431,,23807.5,1831.27,,,,,,,50.58,525466.0
2023-03-01,,,23790.0,1845.05,,,,,,,50.58,1377551.0
2023-03-02,,,23735.0,1838.94,,,,,,,50.26,431732.0
2023-03-03,,,23738.5,1856.47,,,,,,,49.32,741791.0
2023-03-06,,,23733.0,1858.84,,,,,,,49.13,818674.0
2023-03-07,,,23667.5,1852.26,,,,,,,49.51,793553.0
2023-03-08,,,23757.5,1824.38,,,,,,,49.95,511968.0
2023-03-09,,,23756.0,1835.56,,,,,,,50.64,641624.0
2023-03-10,,,23705.0,1870.28,,,,,,,49.95,641543.0
2023-03-13,,,23675.0,1914.79,103700000000000.0,17.2,,,,,49.57,887883.0
2023-03-14,,,23610.0,1914.52,,,,,,,49.44,428257.0
2023-03-15,,,23602.5,1937.46,,,,,,,50.58,693264.0
2023-03-16,,,23587.5,1934.12,,,,,,,49.76,850831.0
2023-03-17,,,23607.5,1989.8,,,,,,,49.63,430362.0
2023-03-20,,,23590.0,2010.19,,,,,,,48.75,771192.0
2023-03-21,,,23595.0,1985.3,,,,,,,49.07,537316.0
2023-03-22,,,23570.0,1978.93,,,,,,,49.32,611402.0
2023-03-23,,,23520.0,2003.43,,,,,,,49.01,357327.0
2023-03-24,,,23525.0,2003.19,,,,,,,49.38,367884.0
2023-03-27,,,23532.5,1979.89,,,,,,,49.7,768784.0
2023-03-28,,,23521.0,1975.45,,,,,,,49.76,1001517.0
2023-03-29,0.0335,,23515.0,1974.64,,,,,,,49.63,405351.0
2023-03-30,,,23490.0,1984.4,,,,,,,49.7,409438.0
2023-03-31,,,23510.0,1987.84,,,11681378883303.0,4567879000694.0,2096933282136.0,1493562580890.0,49.7,672646.0
2023-04-03,,,23515.0,1990.64,,,,,,,50.83,1172390.0
2023-04-04,,,23495.0,2025.19,,,,,,,50.58,585746.0
2023-04-05,,,23497.5,2032.2,,,,,,,50.64,423371.0
2023-04-06,,,23475.0,2021.63,,,,,,,50.45,614350.0
2023-04-07,,,23460.0,,,,,,,,50.58,360755.0
2023-04-10,,,23452.5,2011.17,,,,,,,50.45,771039.0
2023-04-11,,,23457.0,2007.58,,,,,,,50.45,534886.0
2023-04-12,,,23454.5,2028.4,,,,,,,50.45,575815.0
2023-04-13,,,23453.5,2048.84,,,,,,,50.01,542069.0
2023-04-14,,,23451.0,2047.6,,,,,,,50.01,399536.0
2023-04-17,,,23495.0,2015.13,,,,,,,50.01,450882.0
2023-04-18,,,23517.0,2011.98,,,,,,,49.88,302472.0
2023-04-19,,,23518.0,2008.33,,,,,,,49.82,420463.0
2023-04-20,,,23562.5,2012.74,,,,,,,49.88,365619.0
2023-04-21,,,23508.5,2005.75,,,,,,,49.82,324840.0
2023-04-24,,,23497.0,1990.97,,,,,,,49.7,795812.0
2023-04-25,,,23496.0,2003.9,,,,,,,49.26,541028.0
2023-04-26,,,23495.0,2009.51,,,,,,,49.19,772857.0
2023-04-27,,,23492.5,2003.45,,,,,,,49.19,221966.0
2023-04-28,,,23483.0,1995.13,,,,,,,48.69,946202.0
2023-04-29,0.0281,,,,,,,,,,,
2023-05-01,,,23450.0,2006.05,,,,,,,,
2023-05-02,,,23450.0,2019.54,,,,,,,,
2023-05-03,,,23450.0,2040.69,,,,,,,,
2023-05-04,,,23457.5,2073.29,,,,,,,49.32,498526.0
2023-05-05,,,23455.0,2053.13,,,,,,,49.26,320239.0
2023-05-08,,,23460.0,2029.63,,,,,,,49.32,364297.0
2023-05-09,,,23469.0,2037.7,,,,,,,49.57,607003.0
2023-05-10,,,23475.0,2048.22,,,,,,,49.63,633179.0
2023-05-11,,,23475.0,2041.44,,,,,,,49.7,477378.0
2023-05-12,,,23475.0,2022.56,,,,,,,50.58,1085041.0
2023-05-15,,,23471.5,2022.2,,,,,,,50.89,936340.0
2023-05-16,,,23472.5,2018.94,,,,,,,51.2,768209.0
2023-05-17,,,23455.5,1993.13,,,,,,,51.2,977785.0
2023-05-18,,,23460.0,1986.12,,,,,,,52.08,1552354.0
2023-05-19,,,23546.0,1984.09,,,,,,,52.02,1075113.0
2023-05-22,,,23467.5,1982.66,,,,,,,51.83,562355.0
